Region,allen_name,allen_id,allen_acronym,Parent structure,Mid-level group,allen_parent,allen_major_division,allen_cortical_class,is_cortical,is_subcortical,thalamic_group,thalamic_subdivision,count,normalized,source_sheet
Agranular insular area,Agranular insular area,95,AI,Cortex,Prefrontal / Insular cortex,Isocortex,Cerebrum,Isocortex,True,False,,,648,18.431136915710415,"brain1,brain2,brain3,brain4,brain5,brain6,brain7,brain8,brain9"
Anterior amygdalar area,Anterior amygdalar area,23,AAA,Amygdala,Central complex,Striatum-like amygdalar nuclei,Cerebrum,,False,True,,,12,0.3201599683841454,"brain1,brain3,brain6,brain9"
Anterior cingulate area,Anterior cingulate area,31,ACA,Cortex,Prefrontal / Insular cortex,Isocortex,Cerebrum,Isocortex,True,False,,,957,45.425930001126275,"brain1,brain2,brain3,brain4,brain5,brain6,brain7,brain8,brain9"
Anterior hypothalamic nucleus,Anterior hypothalamic nucleus,88,AHN,Hypothalamus,Lateral hypothalamus,Hypothalamic medial zone,Brain stem,,False,True,,,35,1.3900560436577922,"brain1,brain3,brain4,brain9"
Anterior olfactory nucleus,Anterior olfactory nucleus,159,AON,Unknown,Unknown,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,59,2.869031958388025,"brain2,brain3,brain8,brain9"
Anterior pretectal nucleus,Anterior pretectal nucleus,215,APN,Midbrain,Colliculi,Pretectal region,Brain stem,,False,True,,,6,0.35074834606962724,"brain1,brain6,brain8"
Anterodorsal nucleus,Anterodorsal nucleus,64,AD,Unknown,Unknown,Anterior group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,5,0.20464288280806278,"brain2,brain4,brain7,brain9"
Anterolateral visual area,Anterolateral visual area,402,VISal,Cortex,Visual cortex,Visual areas,Cerebrum,Isocortex,True,False,,,23,1.1297205355102347,"brain1,brain2,brain4,brain7,brain8"
Anteromedial nucleus,Anteromedial nucleus,127,AM,Thalamus,Intralaminar thalamus,Anterior group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,89,3.0546516652761144,"brain1,brain2,brain3,brain4,brain6,brain7,brain8"
Anteromedial visual area,Anteromedial visual area,394,VISam,Cortex,Visual cortex,Visual areas,Cerebrum,Isocortex,True,False,,,22,1.0569284379479027,"brain1,brain2,brain4,brain7,brain8"
Anteroventral nucleus of thalamus,Anteroventral nucleus of thalamus,255,AV,Thalamus,Intralaminar thalamus,Anterior group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,16,0.4788524155358307,"brain1,brain2,brain3,brain4,brain6,brain7,brain9"
Anteroventral periventricular nucleus,Anteroventral periventricular nucleus,272,AVPV,Hypothalamus,Preoptic region,Periventricular region,Brain stem,,False,True,,,5,0.084774499830451,brain1
Anteroventral preoptic nucleus,Anteroventral preoptic nucleus,263,AVP,Hypothalamus,Preoptic region,Periventricular region,Brain stem,,False,True,,,1,0.0169548999660902,brain1
Arcuate hypothalamic nucleus,Arcuate hypothalamic nucleus,223,ARH,Unknown,Unknown,Periventricular zone,Brain stem,,False,True,,,1,0.0452898550724638,brain4
Basic cell groups and regions,Basic cell groups and regions,8,grey,Other,Other,root,,,False,False,,,90,2.561591240181292,"brain1,brain2,brain3,brain4,brain5,brain6,brain7,brain9"
Basolateral amygdalar nucleus,Basolateral amygdalar nucleus,295,BLA,Amygdala,Basolateral complex,Cortical subplate,Cerebrum,,False,False,,,45,1.2650126651585314,"brain1,brain2,brain3,brain4,brain6,brain8,brain9"
Basomedial amygdalar nucleus,Basomedial amygdalar nucleus,319,BMA,Amygdala,Basolateral complex,Cortical subplate,Cerebrum,,False,False,,,12,0.2883146818322508,"brain1,brain4,brain6,brain9"
Bed nuclei of the stria terminalis,Bed nuclei of the stria terminalis,351,BST,Septal area,Septal nuclei,"Pallidum, caudal region",Cerebrum,,False,True,,,20,0.5498309881790922,"brain1,brain2,brain4,brain6,brain7,brain9"
Bed nucleus of the accessory olfactory tract,Bed nucleus of the accessory olfactory tract,292,BA,Unknown,Unknown,Striatum-like amygdalar nuclei,Cerebrum,,False,True,,,1,0.0318369945877109,brain6
Caudoputamen,Caudoputamen,672,CP,Striatum,Dorsal striatum,Striatum dorsal region,Cerebrum,,False,True,,,1438,62.19101699114592,"brain1,brain2,brain3,brain4,brain5,brain6,brain7,brain8,brain9"
Central amygdalar nucleus,Central amygdalar nucleus,536,CEA,Amygdala,Central complex,Striatum-like amygdalar nuclei,Cerebrum,,False,True,,,39,1.0083359833274,"brain1,brain2,brain3,brain4,brain6,brain7,brain9"
Central lateral nucleus of the thalamus,Central lateral nucleus of the thalamus,575,CL,Unknown,Unknown,Intralaminar nuclei of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,19,0.8122676998546794,"brain3,brain4,brain5,brain6,brain7"
Central medial nucleus of the thalamus,Central medial nucleus of the thalamus,599,CM,Unknown,Unknown,Intralaminar nuclei of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,53,2.299801470962126,"brain2,brain3,brain4,brain6,brain7,brain8,brain9"
Cerebral cortex,Cerebral cortex,688,CTX,Cortex,General cortex,Cerebrum,Cerebrum,,False,False,,,32,0.9553125753102341,"brain1,brain2,brain3,brain4,brain6,brain7,brain9"
Claustrum,Claustrum,583,CLA,Cortex,Prefrontal / Insular cortex,Cortical subplate,Cerebrum,,False,False,,,73,2.0420649341537898,"brain1,brain2,brain3,brain4,brain6,brain7,brain8,brain9"
Cortical amygdalar area,Cortical amygdalar area,631,COA,Amygdala,Central complex,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,22,0.8450597985323339,"brain1,brain2,brain7,brain8,brain9"
Dentate gyrus,Dentate gyrus,726,DG,Hippocampus,Dentate gyrus,Hippocampal region,Cerebrum,Hippocampal formation,True,False,,,64,2.587856409925369,"brain1,brain2,brain3,brain7,brain8,brain9"
Diagonal band nucleus,Diagonal band nucleus,596,NDB,Septal area,Septal nuclei,Medial septal complex,Cerebrum,,False,True,,,46,1.2908719709393368,"brain1,brain2,brain3,brain4,brain8"
