Region,count,normalized,source_sheet,8,allen_id,allen_acronym,allen_name,allen_parent,allen_major_division,allen_cortical_class,is_cortical,is_subcortical,allen_primary_group,thalamic_group,thalamic_subdivision,allen_path,mapping_type,count_pct_total,count_pct_brain,count_pct_thalamus
Primary somatosensory area,2076,35.1983723296033,brain1,,322,SSp,Primary somatosensory area,Somatosensory areas,Cerebrum,Isocortex,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Somatosensory areas"", ""Primary somatosensory area""]",exact,7.358570820927265,35.19837232960326,0.0
Supplemental somatosensory area,996,16.8870803662258,brain1,,378,SSs,Supplemental somatosensory area,Somatosensory areas,Cerebrum,Isocortex,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Somatosensory areas"", ""Supplemental somatosensory area""]",exact,3.530412590387069,16.88708036622584,0.0
Piriform area,231,3.91658189216684,brain1,,961,PIR,Piriform area,Olfactory areas,Cerebrum,Olfactory areas,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas"", ""Piriform area""]",exact,0.8188005104210975,3.9165818921668363,0.0
Visceral area,196,3.32316039335368,brain1,,677,VISC,Visceral area,Isocortex,Cerebrum,Isocortex,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Visceral area""]",exact,0.6947398270239614,3.3231603933536795,0.0
Caudoputamen,189,3.20447609359105,brain1,,672,CP,Caudoputamen,Striatum dorsal region,Cerebrum,,False,True,Striatum,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum dorsal region"", ""Caudoputamen""]",exact,0.6699276903445343,3.204476093591048,0.0
Gustatory areas,145,2.45846049508308,brain1,,1057,GU,Gustatory areas,Isocortex,Cerebrum,Isocortex,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Gustatory areas""]",exact,0.5139656883595632,2.458460495083079,0.0
Agranular insular area,126,2.13631739572737,brain1,,95,AI,Agranular insular area,Isocortex,Cerebrum,Isocortex,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Agranular insular area""]",exact,0.44661846022968954,2.136317395727365,0.0
Primary motor area,125,2.11936249576127,brain1,,985,MOp,Primary motor area,Somatomotor areas,Cerebrum,Isocortex,True,False,Cortex,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Somatomotor areas"", ""Primary motor area""]",exact,0.4430738692754856,2.119362495761275,0.0
Lateral septal nucleus,124,2.10240759579519,brain1,,242,LS,Lateral septal nucleus,Lateral septal complex,Cerebrum,,False,True,Striatum,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Lateral septal complex"", ""Lateral septal nucleus""]",exact,0.4395292783212817,2.102407595795185,0.0
Globus pallidus,123,2.08545269582909,brain1,,1022,GPe,"Globus pallidus, external segment","Pallidum, dorsal region",Cerebrum,,False,True,Pallidum,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Pallidum"", ""Pallidum, dorsal region"", ""Globus pallidus, external segment""]",override,0.43598468736707785,2.0854526958290944,0.0
